"name_recipe","author","type","description","video_link","ingredients","kitchen"
"Spaghetti Carbonara","Gennaro Contaldo","Main Dish","Classic Italian pasta dish with bacon, eggs, and cheese","https://www.youtube.com/watch?v=3AAdKl1UYZs","Spaghetti, bacon, eggs, Parmesan cheese, black pepper, salt, olive oil","Italian"
"Chicken Tikka Masala","Jamie Oliver","Main Dish","Indian-inspired chicken dish in a creamy tomato sauce","https://www.youtube.com/watch?v=Z7W7Mj1LJ0k","Chicken breast, yogurt, garlic, ginger, garam masala, turmeric, cumin, coriander, tomato puree, cream, butter, onion, green chili, salt","Indian"
"Guacamole","Laura Vitale","Appetizer","Mexican avocado dip with tomatoes and onions","https://www.youtube.com/watch?v=Ojx2S0vQGvE","Avocado, tomato, onion, lime juice, cilantro, jalapeno pepper, salt","Mexican"
"Pad Thai","Pailin's Kitchen","Main Dish","Thai stir-fried noodles with shrimp and vegetables","https://www.youtube.com/watch?v=TPFy6iTZD-c","Rice noodles, shrimp, tofu, eggs, garlic chives, bean sprouts, peanuts, lime wedges","Thai"
"Beef Stroganoff","Natasha's Kitchen","Main Dish","Russian-style beef and mushroom stew served over egg noodles","https://www.youtube.com/watch?v=ET2zFswNkZo","Beef sirloin steak, mushrooms, onion, garlic, sour cream, Dijon mustard, beef broth, egg noodles, parsley, salt, pepper","Russian"
"Tandoori Chicken","Chef Harpal Singh Sokhi","Main Dish","Indian-style grilled chicken marinated in yogurt and spices","https://www.youtube.com/watch?v=JzG6K6nLq6U","Chicken drumsticks, yogurt, garlic, ginger, garam masala, turmeric, cumin, coriander, red chili powder, lemon juice, salt","Indian"
"Tomato and Basil Bruschetta","Gennaro Contaldo","Appetizer","Italian toasted bread with tomato and basil topping","https://www.youtube.com/watch?v=4L5w2JvzQpU","Bread, tomato, garlic, basil, olive oil, salt","Italian"
"Chicken Fajitas","Gordon Ramsay","Main Dish","Mexican-style grilled chicken with peppers and onions","https://www.youtube.com/watch?v=ZcJjMnHoIBI","Chicken breast, bell peppers, onion, garlic, chili powder, cumin, smoked paprika, lime juice, olive oil, tortillas","Mexican"
"Beef Bourguignon","Julia Child","Main Dish","French-style beef stew with red wine and vegetables","https://www.youtube.com/watch?v=FnNBjvNvZIE","Beef chuck roast, bacon, onion, carrot, garlic, mushrooms, red wine, beef broth, tomato paste, thyme, bay leaf, parsley, salt, pepper","French"
"Chicken Katsu Curry","Cooking with Dog","Main Dish","Japanese-style breaded chicken with curry sauce","https://www.youtube.com/watch?v=O0Qx9ZtPZfE","Chicken breast, panko breadcrumbs, egg, flour, onion, carrot, potato, curry powder, honey, soy sauce, rice","Japanese"
"Shakshuka","Olia Hercules","Main Dish","Middle Eastern-style eggs poached in tomato sauce with spices","https://www.youtube.com/watch?v=I0GxUfzK1E4","Tomatoes, bell peppers, onion, garlic, eggs, cumin, paprika, chili flakes, parsley, salt, pepper","Middle Eastern"
"Chicken Adobo","Panlasang Pinoy","Main Dish","Filipino-style chicken cooked in vinegar and soy sauce","https://www.youtube.com/watch?v=Jz8Fj5Lwq5o","Chicken thighs, vinegar, soy sauce, garlic, bay leaves, black peppercorns, brown sugar, water","Filipino"
"Pierogi","Jenny Can Cook","Main Dish","Polish-style dumplings filled with potato and cheese","https://www.youtube.com/watch?v=HdSLKZ6LN94","Potatoes, cheddar cheese, onion, flour, egg, sour cream, salt, pepper","Polish"
"Pho Bo","Helen's Recipes","Main Dish","Vietnamese-style beef noodle soup with herbs and spices","https://www.youtube.com/watch?v=U0DZ3gdrDkM","Beef bones, beef brisket, ginger, onion, star anise, cinnamon sticks, fish sauce, rice noodles, bean sprouts, lime wedges, basil leaves, cilantro leaves","Vietnamese"
"Chicken Parmesan","Laura in the Kitchen","Main Dish","Italian-style breaded chicken with tomato sauce and cheese","https://www.youtube.com/watch?v=8t1nJr5Ruok","Chicken breast, breadcrumbs, Parmesan cheese, eggs, tomato sauce, mozzarella cheese, olive oil, salt, pepper","Italian"
"Ratatouille","French Cooking Academy","Main Dish","French-style vegetable stew with herbs and spices","https://www.youtube.com/watch?v=1a8g_TQ871s","Eggplant, zucchini, bell peppers, onion, garlic, tomatoes, thyme, rosemary, bay leaf, olive oil, salt, pepper","French"
"Chicken Satay","Nyonya Cooking","Main Dish","Malaysian-style grilled chicken skewers with peanut sauce","https://www.youtube.com/watch?v=ZB8T7v0hjHw","Chicken thighs, lemongrass, garlic, ginger, coriander powder, cumin powder, turmeric powder, coconut milk, peanut butter, soy sauce, lime juice, sugar, salt","Malaysian"
"Moussaka","Akis Kitchen","Main Dish","Greek-style eggplant and meat casserole with béchamel sauce","https://www.youtube.com/watch?v=KmGJb6ZKoWc","Eggplant, ground beef, onion, garlic, tomato paste, cinnamon, nutmeg, flour, milk, eggs, Parmesan cheese, olive oil, salt, pepper","Greek"
"Chana Masala","Manjula's Kitchen",Main Dish,"Indian-style chickpea curry with spices and herbs","https://www.youtube.com/watch?v=YYx9CQgX8zg","Chickpeas, onion, tomato, ginger, garlic, cumin seeds, coriander powder, garam masala, turmeric powder, amchur powder, cilantro leaves, salt","Indian"
"Fish and Chips","Donal Skehan","Main Dish","British-style battered and fried fish with potato wedges","https://www.youtube.com/watch?v=9DZs4FjzY8I","Cod fillet, flour, beer, baking powder, potatoes, oil, salt, pepper","British"
